profile,level,amt_loudness
a1,50,0.000000
a2,50,0.000000
a3,50,0.000000
a4,50,0.000000
a5,50,0.000000
a1,55,0.000000
a2,55,0.000000
a3,55,0.000000
a4,55,0.000000
a5,55,0.000000
a1,60,0.000000
a2,60,0.000000
a3,60,0.000000
a4,60,0.000000
a5,60,0.000000
a1,65,0.000000
a2,65,0.000000
a3,65,0.000000
a4,65,0.000000
a5,65,0.000000
a1,70,0.000000
a2,70,0.000000
a3,70,0.000000
a4,70,0.000000
a5,70,0.000000
a1,75,0.000000
a2,75,0.000000
a3,75,0.000000
a4,75,0.000000
a5,75,0.000000
a1,80,0.000000
a2,80,0.000000
a3,80,0.000000
a4,80,0.000000
a5,80,0.000000
a1,85,0.000000
a2,85,0.000000
a3,85,0.000000
a4,85,0.000000
a5,85,0.000000
a1,90,0.000000
a2,90,0.000000
a3,90,0.000000
a4,90,0.000000
a5,90,0.000000
