"Audiogram","Formula","ANSI_SII","Johnson2011_Complete_SII","Bramslow2004_Sones"
"A1","NAL-NL2",0.809317472987418,0.755423335077065,4.29142999477658
"A1","Open-NL",0.798667148158503,0.743885959780551,4.43749930387454
"A2","NAL-NL2",0.85528528571889,0.791813666877712,3.42605507416007
"A2","Open-NL",0.881064899366493,0.789995458054306,4.43748903606597
"A3","NAL-NL2",0.709013450054418,0.67137310547874,3.91539884148431
"A3","Open-NL",0.710190597342708,0.66333743824611,4.28124998783315
"A4","NAL-NL2",0.719950435878254,0.681417069046728,6.09411688584215
"A4","Open-NL",0.58900934891961,0.561540960485299,5.21480351862125
"A5","NAL-NL2",0.601387230448924,0.565427307698437,5.53263870720499
"A5","Open-NL",0.457484679824292,0.433897153878802,4.26166342660328
"A6","NAL-NL2",0.778280742314707,0.743955357875454,2.12401635027601
"A6","Open-NL",0.830690903156625,0.772299165321478,3.48315515912778
"A7","NAL-NL2",0.976250909452389,0.930793001332708,1.15038947716325
"A7","Open-NL",0.98178150873221,0.935885296592129,1.77144640770054
