Profile,Anchor,Trigger,Bypass,Floor,SII,Sones
A2,0.400000,65.000000,60.000000,-20.000000,0.889798,5.063242
A2,0.500000,65.000000,60.000000,-20.000000,0.889244,5.063323
A4,0.300000,65.000000,60.000000,-20.000000,0.576400,5.222826
A4,0.500000,65.000000,60.000000,-20.000000,0.589808,5.221882
A2,0.300000,65.000000,60.000000,-20.000000,0.887793,5.063161
A4,0.400000,65.000000,60.000000,-20.000000,0.583580,5.222764
A5,0.400000,65.000000,60.000000,-20.000000,0.597043,5.247196
A5,0.300000,65.000000,60.000000,-20.000000,0.557150,5.249331
A2,0.300000,71.666667,60.000000,-20.000000,0.887793,5.063161
A5,0.600000,65.000000,60.000000,-20.000000,0.645515,5.247302
A2,0.600000,65.000000,60.000000,-20.000000,0.888594,5.063421
A2,0.400000,71.666667,60.000000,-20.000000,0.889797,5.063236
A5,0.500000,65.000000,60.000000,-20.000000,0.625846,5.247273
A4,0.600000,65.000000,60.000000,-20.000000,0.588179,5.222050
A4,0.300000,71.666667,60.000000,-20.000000,0.576400,5.222826
A5,0.300000,71.666667,60.000000,-20.000000,0.557150,5.249331
A4,0.500000,71.666667,60.000000,-20.000000,0.589894,5.221881
A5,0.500000,71.666667,60.000000,-20.000000,0.626228,5.247274
A5,0.400000,71.666667,60.000000,-20.000000,0.597003,5.247196
A5,0.600000,71.666667,60.000000,-20.000000,0.645419,5.247301
A2,0.600000,71.666667,60.000000,-20.000000,0.888594,5.063421
A2,0.500000,71.666667,60.000000,-20.000000,0.889564,5.063321
A4,0.400000,71.666667,60.000000,-20.000000,0.583580,5.222764
A4,0.600000,71.666667,60.000000,-20.000000,0.588269,5.222033
A2,0.400000,78.333333,60.000000,-20.000000,0.889785,5.063243
A4,0.400000,78.333333,60.000000,-20.000000,0.583580,5.222764
A2,0.300000,78.333333,60.000000,-20.000000,0.887793,5.063161
A4,0.300000,78.333333,60.000000,-20.000000,0.576400,5.222826
A5,0.400000,78.333333,60.000000,-20.000000,0.597003,5.247196
A5,0.300000,78.333333,60.000000,-20.000000,0.557150,5.249331
A4,0.500000,78.333333,60.000000,-20.000000,0.589796,5.221882
A2,0.500000,78.333333,60.000000,-20.000000,0.889276,5.063323
A2,0.300000,85.000000,60.000000,-20.000000,0.887793,5.063161
A5,0.600000,78.333333,60.000000,-20.000000,0.645486,5.247296
A5,0.500000,78.333333,60.000000,-20.000000,0.626153,5.247274
A4,0.300000,85.000000,60.000000,-20.000000,0.576400,5.222826
A2,0.600000,78.333333,60.000000,-20.000000,0.888594,5.063421
A2,0.400000,85.000000,60.000000,-20.000000,0.889798,5.063242
A4,0.600000,78.333333,60.000000,-20.000000,0.588108,5.222064
A5,0.300000,85.000000,60.000000,-20.000000,0.557150,5.249331
A5,0.500000,85.000000,60.000000,-20.000000,0.626172,5.247274
A4,0.500000,85.000000,60.000000,-20.000000,0.589796,5.221882
A2,0.600000,85.000000,60.000000,-20.000000,0.888596,5.063421
A5,0.400000,85.000000,60.000000,-20.000000,0.597003,5.247196
A4,0.400000,85.000000,60.000000,-20.000000,0.583575,5.222764
A5,0.600000,85.000000,60.000000,-20.000000,0.645337,5.247301
A2,0.500000,85.000000,60.000000,-20.000000,0.889257,5.063323
A2,0.400000,65.000000,66.666667,-20.000000,0.889798,5.063242
A4,0.600000,85.000000,60.000000,-20.000000,0.588088,5.222067
A4,0.400000,65.000000,66.666667,-20.000000,0.583580,5.222764
A2,0.300000,65.000000,66.666667,-20.000000,0.887793,5.063161
A5,0.400000,65.000000,66.666667,-20.000000,0.596972,5.247188
A4,0.300000,65.000000,66.666667,-20.000000,0.576400,5.222826
A4,0.500000,65.000000,66.666667,-20.000000,0.589795,5.221882
A5,0.300000,65.000000,66.666667,-20.000000,0.557173,5.249323
A2,0.500000,65.000000,66.666667,-20.000000,0.889294,5.063323
A5,0.600000,65.000000,66.666667,-20.000000,0.644980,5.247298
A2,0.300000,71.666667,66.666667,-20.000000,0.887793,5.063161
A5,0.500000,65.000000,66.666667,-20.000000,0.626179,5.247274
A2,0.400000,71.666667,66.666667,-20.000000,0.889798,5.063242
A4,0.300000,71.666667,66.666667,-20.000000,0.576400,5.222826
A2,0.600000,65.000000,66.666667,-20.000000,0.888594,5.063421
A4,0.600000,65.000000,66.666667,-20.000000,0.588156,5.222053
A5,0.500000,71.666667,66.666667,-20.000000,0.626184,5.246910
A4,0.500000,71.666667,66.666667,-20.000000,0.589795,5.221882
A4,0.400000,71.666667,66.666667,-20.000000,0.583580,5.222764
A5,0.300000,71.666667,66.666667,-20.000000,0.557150,5.249331
A5,0.400000,71.666667,66.666667,-20.000000,0.597003,5.247196
A5,0.600000,71.666667,66.666667,-20.000000,0.645527,5.247229
A2,0.600000,71.666667,66.666667,-20.000000,0.888594,5.063421
A2,0.300000,78.333333,66.666667,-20.000000,0.887793,5.063161
A2,0.400000,78.333333,66.666667,-20.000000,0.889798,5.063242
A2,0.500000,71.666667,66.666667,-20.000000,0.889258,5.063322
A4,0.400000,78.333333,66.666667,-20.000000,0.583580,5.222764
A4,0.600000,71.666667,66.666667,-20.000000,0.588130,5.222060
A4,0.300000,78.333333,66.666667,-20.000000,0.576398,5.222826
A4,0.500000,78.333333,66.666667,-20.000000,0.589894,5.221881
A5,0.400000,78.333333,66.666667,-20.000000,0.597018,5.247196
A5,0.500000,78.333333,66.666667,-20.000000,0.626276,5.247267
A2,0.300000,85.000000,66.666667,-20.000000,0.887793,5.063161
A5,0.600000,78.333333,66.666667,-20.000000,0.645419,5.247301
A5,0.300000,78.333333,66.666667,-20.000000,0.557150,5.249331
A2,0.500000,78.333333,66.666667,-20.000000,0.889267,5.063323
A2,0.400000,85.000000,66.666667,-20.000000,0.889787,5.063242
A2,0.600000,78.333333,66.666667,-20.000000,0.888594,5.063421
A4,0.300000,85.000000,66.666667,-20.000000,0.576400,5.222826
A4,0.500000,85.000000,66.666667,-20.000000,0.589871,5.221881
A4,0.400000,85.000000,66.666667,-20.000000,0.583580,5.222764
A5,0.500000,85.000000,66.666667,-20.000000,0.630755,5.247291
A4,0.600000,78.333333,66.666667,-20.000000,0.588116,5.222062
A5,0.400000,85.000000,66.666667,-20.000000,0.597003,5.247196
A5,0.300000,85.000000,66.666667,-20.000000,0.557150,5.249331
A2,0.600000,85.000000,66.666667,-20.000000,0.888594,5.063421
A5,0.600000,85.000000,66.666667,-20.000000,0.645514,5.247302
A2,0.400000,65.000000,73.333333,-20.000000,0.889749,5.063242
A2,0.300000,65.000000,73.333333,-20.000000,0.887800,5.063163
A4,0.400000,65.000000,73.333333,-20.000000,0.583576,5.222764
A2,0.500000,85.000000,66.666667,-20.000000,0.889277,5.063323
A4,0.600000,85.000000,66.666667,-20.000000,0.588142,5.222057
A4,0.300000,65.000000,73.333333,-20.000000,0.576400,5.222826
A5,0.400000,65.000000,73.333333,-20.000000,0.596972,5.247188
A4,0.500000,65.000000,73.333333,-20.000000,0.589894,5.221881
A5,0.600000,65.000000,73.333333,-20.000000,0.645205,5.247302
A5,0.500000,65.000000,73.333333,-20.000000,0.626186,5.247274
A2,0.300000,71.666667,73.333333,-20.000000,0.887793,5.063161
A5,0.300000,65.000000,73.333333,-20.000000,0.557150,5.249331
A2,0.400000,71.666667,73.333333,-20.000000,0.889798,5.063242
A4,0.300000,71.666667,73.333333,-20.000000,0.576400,5.222826
A2,0.500000,65.000000,73.333333,-20.000000,0.889182,5.063320
A2,0.600000,65.000000,73.333333,-20.000000,0.888594,5.063421
A4,0.500000,71.666667,73.333333,-20.000000,0.589792,5.221882
A4,0.400000,71.666667,73.333333,-20.000000,0.583580,5.222764
A5,0.500000,71.666667,73.333333,-20.000000,0.626143,5.247275
A4,0.600000,65.000000,73.333333,-20.000000,0.588147,5.222056
A5,0.400000,71.666667,73.333333,-20.000000,0.597003,5.247196
A5,0.600000,71.666667,73.333333,-20.000000,0.645419,5.247301
A5,0.300000,71.666667,73.333333,-20.000000,0.557150,5.249331
A2,0.600000,71.666667,73.333333,-20.000000,0.888594,5.063421
A2,0.400000,78.333333,73.333333,-20.000000,0.889798,5.063242
A2,0.300000,78.333333,73.333333,-20.000000,0.887793,5.063161
A4,0.400000,78.333333,73.333333,-20.000000,0.583572,5.222764
A2,0.500000,71.666667,73.333333,-20.000000,0.889259,5.063323
A4,0.500000,78.333333,73.333333,-20.000000,0.589796,5.221882
A4,0.300000,78.333333,73.333333,-20.000000,0.576400,5.222826
A4,0.600000,71.666667,73.333333,-20.000000,0.588027,5.222079
A5,0.600000,78.333333,73.333333,-20.000000,0.645419,5.247301
A5,0.400000,78.333333,73.333333,-20.000000,0.597003,5.247196
A5,0.500000,78.333333,73.333333,-20.000000,0.625922,5.247273
A2,0.300000,85.000000,73.333333,-20.000000,0.887810,5.063163
A2,0.400000,85.000000,73.333333,-20.000000,0.889791,5.063242
A5,0.300000,78.333333,73.333333,-20.000000,0.557150,5.249331
A2,0.600000,78.333333,73.333333,-20.000000,0.888594,5.063421
A4,0.500000,85.000000,73.333333,-20.000000,0.589782,5.221882
A4,0.300000,85.000000,73.333333,-20.000000,0.576400,5.222826
A2,0.500000,78.333333,73.333333,-20.000000,0.889260,5.063322
A5,0.500000,85.000000,73.333333,-20.000000,0.626687,5.247276
A4,0.400000,85.000000,73.333333,-20.000000,0.583580,5.222764
A5,0.600000,85.000000,73.333333,-20.000000,0.645419,5.247301
A4,0.600000,78.333333,73.333333,-20.000000,0.588146,5.222054
A5,0.400000,85.000000,73.333333,-20.000000,0.597003,5.247196
A2,0.400000,65.000000,80.000000,-20.000000,0.889769,5.063241
A2,0.600000,85.000000,73.333333,-20.000000,0.888594,5.063421
A2,0.300000,65.000000,80.000000,-20.000000,0.887793,5.063161
A5,0.300000,85.000000,73.333333,-20.000000,0.557150,5.249331
A4,0.400000,65.000000,80.000000,-20.000000,0.583567,5.222764
A4,0.500000,65.000000,80.000000,-20.000000,0.589833,5.221882
A4,0.300000,65.000000,80.000000,-20.000000,0.576400,5.222826
A2,0.500000,85.000000,73.333333,-20.000000,0.889260,5.063323
A5,0.600000,65.000000,80.000000,-20.000000,0.645647,5.247303
A5,0.400000,65.000000,80.000000,-20.000000,0.596972,5.247188
A2,0.300000,71.666667,80.000000,-20.000000,0.887793,5.063161
A5,0.500000,65.000000,80.000000,-20.000000,0.626034,5.247273
A4,0.600000,85.000000,73.333333,-20.000000,0.588168,5.222052
A2,0.400000,71.666667,80.000000,-20.000000,0.889796,5.063239
A2,0.600000,65.000000,80.000000,-20.000000,0.888594,5.063421
A5,0.500000,71.666667,80.000000,-20.000000,0.626450,5.247275
A5,0.300000,65.000000,80.000000,-20.000000,0.557150,5.249331
A4,0.400000,71.666667,80.000000,-20.000000,0.583577,5.222764
A4,0.500000,71.666667,80.000000,-20.000000,0.589894,5.221881
A4,0.300000,71.666667,80.000000,-20.000000,0.576400,5.222826
A2,0.500000,65.000000,80.000000,-20.000000,0.889240,5.063322
A5,0.600000,71.666667,80.000000,-20.000000,0.645517,5.247302
A5,0.400000,71.666667,80.000000,-20.000000,0.597014,5.247196
A2,0.400000,78.333333,80.000000,-20.000000,0.889792,5.063239
A2,0.300000,78.333333,80.000000,-20.000000,0.887790,5.063162
A4,0.600000,65.000000,80.000000,-20.000000,0.588186,5.222049
A4,0.400000,78.333333,80.000000,-20.000000,0.583580,5.222764
A2,0.600000,71.666667,80.000000,-20.000000,0.888594,5.063421
A4,0.500000,78.333333,80.000000,-20.000000,0.589774,5.221882
A5,0.300000,71.666667,80.000000,-20.000000,0.557150,5.249331
A5,0.600000,78.333333,80.000000,-20.000000,0.645391,5.247302
A2,0.300000,85.000000,80.000000,-20.000000,0.887793,5.063161
A5,0.500000,78.333333,80.000000,-20.000000,0.626232,5.247274
A2,0.500000,71.666667,80.000000,-20.000000,0.889231,5.063323
A4,0.300000,78.333333,80.000000,-20.000000,0.576400,5.222826
A5,0.400000,78.333333,80.000000,-20.000000,0.597006,5.247196
A2,0.400000,85.000000,80.000000,-20.000000,0.889793,5.063242
A4,0.600000,71.666667,80.000000,-20.000000,0.588167,5.222052
A4,0.500000,85.000000,80.000000,-20.000000,0.589783,5.221880
A5,0.500000,85.000000,80.000000,-20.000000,0.626085,5.247274
A2,0.600000,78.333333,80.000000,-20.000000,0.888594,5.063421
A4,0.400000,85.000000,80.000000,-20.000000,0.583574,5.222764
A4,0.300000,85.000000,80.000000,-20.000000,0.576400,5.222826
A5,0.600000,85.000000,80.000000,-20.000000,0.645489,5.247302
A5,0.300000,78.333333,80.000000,-20.000000,0.557176,5.249322
A2,0.400000,65.000000,60.000000,-13.333333,0.889801,5.063243
A2,0.500000,78.333333,80.000000,-20.000000,0.889254,5.063322
A2,0.300000,65.000000,60.000000,-13.333333,0.887793,5.063161
A5,0.400000,85.000000,80.000000,-20.000000,0.597003,5.247196
A4,0.400000,65.000000,60.000000,-13.333333,0.583576,5.222764
A2,0.600000,85.000000,80.000000,-20.000000,0.888594,5.063421
A4,0.500000,65.000000,60.000000,-13.333333,0.589791,5.221882
A4,0.600000,78.333333,80.000000,-20.000000,0.588157,5.222049
A5,0.300000,85.000000,80.000000,-20.000000,0.557150,5.249331
A5,0.500000,65.000000,60.000000,-13.333333,0.626245,5.247274
A5,0.600000,65.000000,60.000000,-13.333333,0.645232,5.247304
A2,0.300000,71.666667,60.000000,-13.333333,0.887793,5.063161
A4,0.300000,65.000000,60.000000,-13.333333,0.576400,5.222826
A2,0.400000,71.666667,60.000000,-13.333333,0.889798,5.063242
A5,0.400000,65.000000,60.000000,-13.333333,0.596972,5.247188
A2,0.500000,85.000000,80.000000,-20.000000,0.888157,5.063308
A4,0.600000,85.000000,80.000000,-20.000000,0.588145,5.222057
A4,0.400000,71.666667,60.000000,-13.333333,0.583580,5.222764
