profile,level,amt_loudness
a1,50,1.946699
a2,50,2.044315
a3,50,1.793320
a4,50,2.943956
a5,50,2.115735
a1,55,3.163344
a2,55,3.166580
a3,55,2.891087
a4,55,4.325891
a5,55,3.338126
a1,60,4.688618
a2,60,4.624669
a3,60,4.325042
a4,60,6.160124
a5,60,4.949648
a1,65,6.680112
a2,65,6.530909
a3,65,6.189642
a4,65,8.554282
a5,65,7.098702
a1,70,9.204181
a2,70,8.896732
a3,70,8.488427
a4,70,11.588330
a5,70,9.920749
a1,75,12.470501
a2,75,11.901467
a3,75,11.352673
a4,75,15.641776
a5,75,13.579734
a1,80,16.541002
a2,80,15.680993
a3,80,14.957842
a4,80,20.953943
a5,80,18.286647
a1,85,21.687825
a2,85,20.333111
a3,85,19.492257
a4,85,27.623539
a5,85,24.498628
a1,90,28.054984
a2,90,26.182045
a3,90,25.144469
a4,90,36.517591
a5,90,32.278552
