"Audiogram","Formula","SII","Sones"
"A1","NAL-NL2",0.8,11.3
"A1","DSL",0.8,14.4
"A1","CAMEQ2-HF",0.85,13.8
"A1","Open-NL",0.85,6.5
"A2","NAL-NL2",0.81,2
"A2","DSL",0.87,2.4
"A2","CAMEQ2-HF",0.88,6.5
"A2","Open-NL",0.87,3.9
"A3","NAL-NL2",0.7,8.5
"A3","DSL",0.73,10.3
"A3","CAMEQ2-HF",0.81,9.4
"A3","Open-NL",0.78,5.3
"A4","NAL-NL2",0.76,12.4
"A4","DSL",0.82,13.2
"A4","CAMEQ2-HF",0.77,17.1
"A4","Open-NL",0.8,11.9
"A5","NAL-NL2",0.6,9.2
"A5","DSL",0.61,9.3
"A5","CAMEQ2-HF",0.8,66.6
"A5","Open-NL",0.67,7.7
"A6","NAL-NL2",0.84,4.8
"A6","DSL",0.71,4.9
"A6","CAMEQ2-HF",0.84,9.7
"A6","Open-NL",0.79,3.6
"A7","NAL-NL2",0.61,4.6
"A7","DSL",0.95,12.5
"A7","CAMEQ2-HF",0.97,17.2
"A7","Open-NL",0.93,10.3
